frame      n_event   density
----------------------------
00000000         0  0.000000
00000001         0  0.000000
00000002         0  0.000000
00000003         0  0.000000
00000004         0  0.000000
00000005         0  0.000000
00000006         0  0.000000
00000007         0  0.000000
00000008         0  0.000000
00000009         0  0.000000
00000010         0  0.000000
00000011         0  0.000000
00000012         0  0.000000
00000013         0  0.000000
00000014         0  0.000000
00000015         0  0.000000
00000016         0  0.000000
00000017         0  0.000000
00000018         0  0.000000
00000019         0  0.000000
00000020         0  0.000000
00000021         0  0.000000
00000022         0  0.000000
00000023         0  0.000000
00000024         0  0.000000
00000025         0  0.000000
00000026         0  0.000000
00000027         0  0.000000
00000028         0  0.000000
00000029         0  0.000000
00000030         0  0.000000
00000031         0  0.000000
00000032         0  0.000000
00000033         0  0.000000
00000034         0  0.000000
00000035         0  0.000000
00000036         0  0.000000
00000037         0  0.000000
00000038         0  0.000000
00000039         0  0.000000
00000040         0  0.000000
00000041         0  0.000000
00000042         0  0.000000
00000043         0  0.000000
00000044         0  0.000000
00000045         0  0.000000
00000046         0  0.000000
00000047         0  0.000000
00000048         0  0.000000
00000049         0  0.000000
00000050         0  0.000000
00000051         0  0.000000
00000052         0  0.000000
00000053         0  0.000000
00000054         0  0.000000
00000055         0  0.000000
00000056         0  0.000000
00000057         0  0.000000
00000058         0  0.000000
00000059         0  0.000000
00000060         0  0.000000
00000061         0  0.000000
00000062         0  0.000000
00000063         0  0.000000
00000064         0  0.000000
00000065         0  0.000000
00000066         0  0.000000
00000067         0  0.000000
00000068         0  0.000000
00000069         0  0.000000
00000070         0  0.000000
00000071         0  0.000000
00000072         0  0.000000
00000073         0  0.000000
00000074         0  0.000000
00000075         0  0.000000
00000076         0  0.000000
00000077         0  0.000000
00000078         0  0.000000
00000079         0  0.000000
00000080         0  0.000000
00000081         0  0.000000
00000082         0  0.000000
00000083         0  0.000000
00000084         0  0.000000
00000085         0  0.000000
00000086         0  0.000000
00000087         0  0.000000
00000088         0  0.000000
00000089         0  0.000000
00000090         0  0.000000
00000091         0  0.000000
00000092         0  0.000000
00000093         0  0.000000
00000094         0  0.000000
00000095         0  0.000000
00000096         0  0.000000
00000097         0  0.000000
00000098         0  0.000000
00000099         0  0.000000
00000100         0  0.000000
00000101         0  0.000000
00000102         0  0.000000
00000103         0  0.000000
00000104         0  0.000000
00000105         0  0.000000
00000106         0  0.000000
00000107         0  0.000000
00000108         0  0.000000
00000109         0  0.000000
00000110         0  0.000000
00000111         0  0.000000
00000112         0  0.000000
00000113         0  0.000000
00000114         0  0.000000
00000115         0  0.000000
00000116         0  0.000000
00000117         0  0.000000
00000118         0  0.000000
00000119         0  0.000000
00000120         0  0.000000
00000121         0  0.000000
00000122         0  0.000000
00000123         0  0.000000
00000124         0  0.000000
00000125         0  0.000000
00000126         0  0.000000
00000127         0  0.000000
00000128         0  0.000000
00000129         0  0.000000
00000130         0  0.000000
00000131         0  0.000000
00000132         0  0.000000
00000133         0  0.000000
00000134         0  0.000000
00000135         0  0.000000
00000136         0  0.000000
00000137         0  0.000000
00000138         0  0.000000
00000139         0  0.000000
00000140         0  0.000000
00000141         0  0.000000
00000142         0  0.000000
00000143         0  0.000000
00000144         0  0.000000
00000145         0  0.000000
00000146         0  0.000000
00000147         0  0.000000
00000148         0  0.000000
00000149         0  0.000000
00000150         0  0.000000
00000151         0  0.000000
00000152         0  0.000000
00000153         0  0.000000
00000154         0  0.000000
00000155         0  0.000000
00000156         0  0.000000
00000157         0  0.000000
00000158         0  0.000000
00000159         0  0.000000
00000160         0  0.000000
00000161         0  0.000000
00000162         0  0.000000
00000163         0  0.000000
00000164         0  0.000000
00000165         0  0.000000
00000166         0  0.000000
00000167         0  0.000000
00000168         0  0.000000
00000169         0  0.000000
00000170         0  0.000000
00000171         0  0.000000
00000172         0  0.000000
00000173         0  0.000000
00000174         0  0.000000
00000175         0  0.000000
00000176         0  0.000000
00000177         0  0.000000
00000178         0  0.000000
00000179         0  0.000000
00000180         0  0.000000
00000181         0  0.000000
00000182         0  0.000000
00000183         0  0.000000
00000184         0  0.000000
00000185         0  0.000000
00000186         0  0.000000
00000187         0  0.000000
00000188         0  0.000000
00000189         0  0.000000
00000190         0  0.000000
00000191         0  0.000000
00000192         0  0.000000
00000193         0  0.000000
00000194         0  0.000000
00000195         0  0.000000
00000196         0  0.000000
00000197         0  0.000000
00000198         0  0.000000
00000199         0  0.000000
00000200         0  0.000000
00000201         0  0.000000
00000202         0  0.000000
00000203         0  0.000000
00000204         0  0.000000
00000205         0  0.000000
00000206         0  0.000000
00000207         0  0.000000
00000208         0  0.000000
00000209         0  0.000000
00000210         0  0.000000
00000211         0  0.000000
00000212         0  0.000000
00000213         0  0.000000
00000214         0  0.000000
00000215         0  0.000000
00000216         0  0.000000
00000217         0  0.000000
00000218         0  0.000000
00000219         0  0.000000
00000220         0  0.000000
00000221         0  0.000000
00000222         0  0.000000
00000223         0  0.000000
00000224         0  0.000000
00000225         0  0.000000
00000226         0  0.000000
00000227         0  0.000000
00000228         0  0.000000
00000229         0  0.000000
00000230         0  0.000000
00000231         0  0.000000
00000232         0  0.000000
00000233         0  0.000000
00000234         0  0.000000
00000235         0  0.000000
00000236         0  0.000000
00000237         0  0.000000
00000238         0  0.000000
00000239         0  0.000000
00000240         0  0.000000
00000241         0  0.000000
00000242         0  0.000000
00000243         0  0.000000
00000244         0  0.000000
00000245         0  0.000000
00000246         0  0.000000
00000247         0  0.000000
00000248         0  0.000000
00000249         0  0.000000
00000250         0  0.000000
00000251         0  0.000000
00000252         0  0.000000
00000253         0  0.000000
00000254         0  0.000000
00000255         0  0.000000
00000256         0  0.000000
00000257         0  0.000000
00000258         0  0.000000
00000259         0  0.000000
00000260         0  0.000000
00000261         0  0.000000
00000262         0  0.000000
00000263         0  0.000000
00000264         0  0.000000
00000265         0  0.000000
00000266         0  0.000000
00000267         0  0.000000
00000268         0  0.000000
00000269         0  0.000000
00000270         0  0.000000
00000271         0  0.000000
00000272         0  0.000000
00000273         0  0.000000
00000274         0  0.000000
00000275         0  0.000000
00000276         0  0.000000
00000277         0  0.000000
00000278         0  0.000000
00000279         0  0.000000
00000280         0  0.000000
00000281         0  0.000000
00000282         0  0.000000
00000283         0  0.000000
00000284         0  0.000000
00000285         0  0.000000
00000286         0  0.000000
00000287         0  0.000000
00000288         0  0.000000
00000289         0  0.000000
00000290         0  0.000000
00000291         0  0.000000
00000292         0  0.000000
00000293         0  0.000000
00000294         0  0.000000
00000295         0  0.000000
00000296         0  0.000000
00000297         0  0.000000
00000298         0  0.000000
00000299         0  0.000000
00000300         0  0.000000
00000301         0  0.000000
00000302         0  0.000000
00000303         0  0.000000
00000304         0  0.000000
00000305         0  0.000000
00000306         0  0.000000
00000307         0  0.000000
00000308         0  0.000000
00000309         0  0.000000
00000310         0  0.000000
00000311         0  0.000000
00000312         0  0.000000
00000313         0  0.000000
00000314         0  0.000000
00000315         0  0.000000
00000316         0  0.000000
00000317         0  0.000000
00000318         0  0.000000
00000319         0  0.000000
00000320         0  0.000000
00000321         0  0.000000
00000322         0  0.000000
00000323         0  0.000000
00000324         0  0.000000
00000325         0  0.000000
00000326         0  0.000000
00000327         0  0.000000
00000328         0  0.000000
00000329         0  0.000000
00000330         0  0.000000
00000331         0  0.000000
00000332         0  0.000000
00000333         0  0.000000
00000334         0  0.000000
00000335         0  0.000000
00000336         0  0.000000
00000337         0  0.000000
00000338         0  0.000000
00000339         0  0.000000
00000340         0  0.000000
00000341         0  0.000000
00000342         0  0.000000
00000343         0  0.000000
00000344         0  0.000000
00000345         0  0.000000
00000346         0  0.000000
00000347         0  0.000000
00000348         0  0.000000
00000349         0  0.000000
00000350         0  0.000000
00000351         0  0.000000
00000352         0  0.000000
00000353         0  0.000000
00000354         0  0.000000
00000355         0  0.000000
00000356         0  0.000000
00000357         0  0.000000
00000358         0  0.000000
00000359         0  0.000000
00000360         0  0.000000
00000361         0  0.000000
00000362         0  0.000000
00000363         0  0.000000
00000364         0  0.000000
00000365         0  0.000000
00000366         0  0.000000
00000367         0  0.000000
00000368         0  0.000000
00000369         0  0.000000
00000370         0  0.000000
00000371         0  0.000000
00000372         0  0.000000
00000373         0  0.000000
00000374         0  0.000000
00000375         0  0.000000
00000376         0  0.000000
00000377         0  0.000000
00000378         0  0.000000
00000379         0  0.000000
00000380         0  0.000000
00000381         0  0.000000
00000382         0  0.000000
00000383         0  0.000000
00000384         0  0.000000
00000385         0  0.000000
00000386         0  0.000000
00000387         0  0.000000
00000388         0  0.000000
00000389         0  0.000000
